City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,port-vila,-17.7338,168.3219,23.78,69,100,4.12,VU,1726551623
326,marquette,46.5333,-87.6335,17.5,83,58,3.01,US,1726551624
327,chuhar jamali,24.3895,67.9923,29.22,65,92,5.58,PK,1726551625
328,taroa,8.7058,171.2275,28.56,74,70,3.48,MH,1726551626
329,ghanzi,-21.5667,21.7833,21.37,16,51,5.96,BW,1726551627
330,chifeng,42.2683,118.9636,17.34,80,98,2.05,CN,1726551628
331,bressanone,46.715,11.656,9.85,96,100,1.56,IT,1726551630
332,mahibadhoo,3.7833,72.9667,28.83,75,27,5.8,MV,1726551631
333,zhaotong,27.3167,103.7167,23.48,62,55,3.22,CN,1726551632
334,palangkaraya,-2.2,113.8333,35.65,33,47,1.81,ID,1726551633
335,teterow,53.7833,12.5667,16.09,98,36,3.5,DE,1726551634
336,new plymouth,-39.0667,174.0833,5.73,100,78,4.97,NZ,1726551635
337,ryotsu-minato,38.0833,138.4333,25.8,66,15,1.93,JP,1726551636
338,olinda,-8.0089,-34.8553,25.85,78,40,5.14,BR,1726551637
339,martapura,-3.4167,114.85,35.05,43,40,3.6,ID,1726551638
340,pagar alam,-4.0167,103.2667,28.75,46,93,2.34,ID,1726551639
341,arar,30.9753,41.0381,25.01,44,0,8.23,SA,1726551640
342,tamanrasset,22.785,5.5228,25.51,44,5,1.38,DZ,1726551642
343,bikenibeu village,1.3673,173.1241,29.98,70,20,1.54,KI,1726551643
344,acarau,-2.8856,-40.12,25.07,81,7,8.42,BR,1726551644
345,flying fish cove,-10.4217,105.6791,26.82,73,40,4.12,CX,1726551645
346,roma,43.2128,-75.4557,15.24,94,0,2.06,US,1726551646
347,callao,-12.0667,-77.15,16.16,82,100,5.14,PE,1726551647
348,palmaner,13.2,78.75,30.88,42,14,7.62,IN,1726551648
349,bedele,8.456,36.353,17.02,91,81,0.45,ET,1726551649
350,el granada,37.5027,-122.4694,12.79,87,100,1.54,US,1726551650
351,coahuayana de hidalgo,18.7,-103.6583,26.32,90,100,1.06,MX,1726551651
352,general villegas,-35.0328,-63.0125,17.66,38,100,7.1,AR,1726551652
353,bam,29.106,58.357,32.21,16,0,3.15,IR,1726551654
354,stjordalshalsen,63.4681,10.9262,10.99,93,75,2.06,NO,1726551655
355,alaghsas,17.0187,8.0168,25.94,65,0,4.12,NE,1726551656
356,la'ie,21.6477,-157.9253,26.19,85,100,1.79,US,1726551657
357,puerto montt,-41.4698,-72.9447,2.46,93,100,1.03,CL,1726551658
358,chisineu-cris,46.5333,21.5167,11.87,81,25,2.91,RO,1726551660
359,high springs,29.8269,-82.5968,21.66,95,49,1.79,US,1726551661
360,tambopata,-12.7333,-69.1833,21.21,57,26,1.07,PE,1726551662
361,mantua,45.1667,10.7833,14.39,88,100,0.89,IT,1726551664
